col_name_2019,new_name,col_desc,key,expected_feature,sparse
A1_MENTHEALTH,a1_mental_health,Adult 1 mental health,"1 = Excellent, 2 = Very Good, 3 = Good, 4 = Fair, 5 = Poor",0,0
A1_PHYSHEALTH,a1_physical_health,Adult 1 physical health,"1 = Excellent, 2 = Very Good, 3 = Good, 4 = Fair, 5 = Poor",0,0
A2_MENTHEALTH,a2_mental_health,Adult 2 mental health,"1 = Excellent, 2 = Very Good, 3 = Good, 4 = Fair, 5 = Poor",0,0
A2_PHYSHEALTH,a2_physical_health,Adult 2 physical health,"1 = Excellent, 2 = Very Good, 3 = Good, 4 = Fair, 5 = Poor",0,0
ACE1,financial_problems,Difficulty financially covering basics since child was born,"1 = Never, 2 = Rarely, 3 = Somewhat often, 4 = Very often",0,0
ALTHEALTH,alternative_healthcare,Used alternative health care in last 12 months,"1 = Yes, 2 = No",0,0
APPOINTMENT,appointment_problems,Did not recieve health care due to problems making an appointment,"1 = Yes, 2 = No",1,1
ARRANGEHC,time_spent_aranging,Weekly time spent aranging health care for child,"6 = This child does not need health care coordinated on a weekly basis, 2 = Less than 1 hour per week, 3 = 1-4 hours per week, 4 = 5-10 hours per week, 5 = 11 or more hours per week",0,0
ATHOMEHC,time_spent_providing,Weekly time spent providing home health care,6 = This child does not need health care provided at home on a weekly basis 2 = Less than 1 hour per week 3 = 1-4 hours per week 4 = 5-10 hours per week 5 = 11 or more hours per week,0,0
AVAILABLE,healthcare_availability,Health care was not available in the area,"1 = Yes, 2 = No",1,1
AVOIDCHG,avoided_changing_jobs,Family member avoided changing jobs for health insurance in past year,"1 = Yes, 2 = No",0,0
BIRTH_YR,birth_year,Birth year of child,,0,0
C4Q04,frustrated_getting_services,Frustrated in getting efforts to get services for child in past 12 months,"1 = Never, 2 = Sometimes, 3 = Usually, 4 = Always",1,0
CURRCOV,currently_covered,Child is currently covered by some kind of health care,"1 = Yes, 2 = No",1,0
CURRINS,currently_insured,"Child is currently insured (not including Indian health service, religious health share)","1 = Yes, 2 = No",1,0
FIPSST,FIPSST,State code,,1,0
FOODSIT,can_afford_food,Household's ability to afford food,"1 = We could always afford to eat good nutritious meals, 2 = We could always afford enough to eat but not always the kinds of food we should eat, 3 = Sometimes we could not afford enough to eat, 4 = Often we could not afford enough to eat.",0,0
HCABILITY,health_affects_things,How often health problems affected child's ability to do things,"1 = This child does not have any health conditions, 2 = Never, 3 = Sometimes, 4 = Usually, 5 = Always",0,0
HOSPITALER,hostpital_er,How many times child visited ER in past 12 months,"1 = None, 2 = 1 time, 3 = 2 or more times",1,0
HOSPITALSTAY,hostpital_stay,Child was admitted to stay the night in the hospital within past 12 months,"1 = Yes, 2 = No",1,0
HOWMUCH,cost,How much money was payed for child's health care in past 12 months,"1 = $0 (No medical or health-related expenses), 2 = $1-$249, 3 = $250-$499, 4 = $500-$999, 5 = $1,000-$5,000, 6 = More than $5,000",1,0
INSGAP,how_insured,How many of the past 12 months the child was insured,"1 = Insured all 12 months, 2 = Insured during the past 12 months but with gaps in coverage, 3 = No coverage past 12 months",0,0
INSTYPE,insurance_type,Insurance type,"1 = Public only (government assistance), 2 = Private only (privately purchased, including through ACA marketplace, through employer, or TRICARE), 3 = Private and public, 5 = Not insured",0,0
ISSUECOST,insurance_cost_issue,Child did not recieve needed health services due to cost,"1 = Yes, 2 = No",1,1
K11Q03R,indian_health_services,Child is currently covered by Indian health services,"1 = Yes, 2 = No",0,0
K11Q60,recieved_welfare,Someone in family recieved welfare in past 12 months,"1 = Yes, 2 = No",0,0
K11Q61,recieved_food_stamps,Someone in family recieved food stamps in past 12 months,"1 = Yes, 2 = No",0,0
K2Q01,general_health,General health of child,"1 = Excellent, 2 = Very Good, 3 = Good, 4 = Fair, 5 = Poor",1,0
K3Q04_R,how_covered,How many of the past 12 months the child had any kind of health coverage,"1 = Covered all 12 months, 2 = Covered with gaps, 3 = Not covered",1,0
K3Q20,meets_needs,How often health insurance covers child's needs (skipped if not covered),1 = Always 2 = Usually 3 = Sometimes 4 = Never,1,0
K3Q21B,costs_reasonable,How often health care costs were reasonable (skipped if zero dollars were payed),1 = Always 2 = Usually 3 = Sometimes 4 = Never,0,0
K3Q22,sees_providers,How often the child is allowed to see providers (skipped if not covered),1 = Always 2 = Usually 3 = Sometimes 4 = Never,1,0
K3Q25,costs_issue,Problems paying for health care in past 12 months,"1 = Yes, 2 = No",0,1
K4Q01,has_sick_place,There is a place where the child usually goes first when sick,"1 = Yes, 2 = No",0,0
K4Q02_R,sick_place,Place where child usually goes when sick (skipped if no such place),"1 = Doctor's Office, 2 = Hospital Emergency Room, 3 = Hospital Outpatient Department, 4 = Clinic or Health Center, 5 = Retail Store Clinic or ""Minute Clinic"", 6 = School (Nurse's Office, Athletic Trainer's Office), 7 = Some other place",0,0
K4Q04_R,has_personal_doctor,Child has personal doctor or nurse,"1 = Yes, one person, 2 = Yes, more than one person, 3 = No",0,0
K4Q20R,num_checkups,Number of preventive visits (when not sick),"1 = 0 visits, 2 = 1 visit, 3 = 2 or more visits",1,0
K4Q22_R,saw_mental_specialist,Child recieved treatment from mental health specialist,"1 = Yes, 2 = No but this child needed to see a mental health professional 3 = No this child did not need to see a mental health professional",0,0
K4Q24_R,saw_nonmental_specialist,Child saw non-mental health specialist,"1 = Yes, 2 = No but this child needed to see a specialist 3 = No this child did not need to see a specialist",0,0
K4Q26,difficulty_with_specialist,Difficulty getting the specialist care needed (skipped if did not see specialist),"1 = Not difficult, 2 = Somewhat difficult, 3 = Very difficult, 4 = It was not possible to obtain care",0,1
K4Q27,not_recieved_healthcare,"Child needed health care, but did not recieve it some time in past 12 months","1 = Yes, 2 = No",1,0
K5Q31_R,communicated,Child's health care communicated with school (skipped if no doctor's visit),1 = Yes; 2 = No; 3 = Did not need health care provider to communicate with these providers,0,1
K7Q02R_R,days_missed,Days child missed school in past 12 months due to illness or injury,"1 = No missed school days, 2 = 1 - 3 days, 3 = 4 - 6 days, 4 = 7 - 10 days, 5 = 11 or more days, 6 = This child was not enrolled in school",1,0
K7Q82_R,cares_about_school,Child cares about doing well at school,"1 = Always, 2 = Usually, 3 = Sometimes, 4 = Never",0,1
K7Q83_R,does_homework,Child does all required homework,"1 = Always, 2 = Usually, 3 = Sometimes, 4 = Never",0,1
SC_AGE_YEARS,age,Age of child in years,,1,0
